Zone Netherlands,Country,ZIP,Flow,LDM-0.2,LDM-0.4,LDM-0.5,LDM-0.6,LDM-0.7,LDM-0.8,LDM-1.0,LDM-1.2,LDM-1.5,LDM-1.6,LDM-2.0,LDM-2.4,LDM-2.5,LDM-2.8,LDM-3.0,LDM-3.2,LDM-3.6,LDM-4.0,LDM-4.5,LDM-4.8,LDM-5.0,LDM-5.2,LDM-5.6,LDM-6.0,LDM-6.5,LDM-6.8,LDM-7.0,LDM-7.2,LDM-7.5,LDM-7.6,LDM-8.0,LDM-8.4,LDM-8.5,LDM-8.8,LDM-9.0,LDM-9.2,LDM-9.5,LDM-9.6,LDM-10.0
NL,CH,72,Export,"200,48","278,83","359,53","419,80","437,10","474,83","561,28","589,56","624,90","670,11","705,12","785,21","824,28","851,36","871,16","923,21","976,82","1.035,66","1.072,24","1.142,92","1.178,87","1.215,66","1.287,34","1.358,20","1.433,60","1.502,61","1.539,32","1.575,16","1.613,79","1.649,58","1.677,94","1.719,95","1.739,97","1.777,19","1.802,00","1.880,13","1.921,16","1.990,69","2.040,31"
NL,CH,73,Export,"190,84","265,35","342,19","400,53","417,84","440,88","475,50","506,27","570,23","599,87","641,72","714,76","750,29","800,00","819,79","866,55","915,27","961,31","994,59","1.060,22","1.093,63","1.127,90","1.194,52","1.260,31","1.330,64","1.393,81","1.416,51","1.453,04","1.473,25","1.505,34","1.530,00","1.568,48","1.586,74","1.620,79","1.643,49","1.714,57","1.752,07","1.815,26","1.860,66"
NL,CH,74,Export,"200,48","278,83","359,53","419,80","437,10","474,83","561,28","589,56","624,90","670,11","705,12","785,21","824,28","851,36","871,16","923,21","976,82","1.035,66","1.072,24","1.142,92","1.178,87","1.215,66","1.287,34","1.358,20","1.433,60","1.502,61","1.539,32","1.575,16","1.613,79","1.649,58","1.677,94","1.719,95","1.739,97","1.777,19","1.802,00","1.880,13","1.921,16","1.990,69","2.040,31"
NL,CH,75,Export,"200,48","278,83","359,53","419,80","437,10","474,83","561,28","589,56","624,90","670,11","705,12","785,21","824,28","851,36","871,16","923,21","976,82","1.035,66","1.072,24","1.142,92","1.178,87","1.215,66","1.287,34","1.358,20","1.433,60","1.502,61","1.539,32","1.575,16","1.613,79","1.649,58","1.677,94","1.719,95","1.739,97","1.777,19","1.802,00","1.880,13","1.921,16","1.990,69","2.040,31"
NL,CH,76,Export,"200,48","278,83","359,53","419,80","437,10","474,83","561,28","589,56","624,90","670,11","705,12","785,21","824,28","851,36","871,16","923,21","976,82","1.035,66","1.072,24","1.142,92","1.178,87","1.215,66","1.287,34","1.358,20","1.433,60","1.502,61","1.539,32","1.575,16","1.613,79","1.649,58","1.677,94","1.719,95","1.739,97","1.777,19","1.802,00","1.880,13","1.921,16","1.990,69","2.040,31"
NL,CH,77,Export,"200,48","278,83","359,53","419,80","437,10","474,83","561,28","589,56","624,90","670,11","705,12","785,21","824,28","851,36","871,16","923,21","976,82","1.035,66","1.072,24","1.142,92","1.178,87","1.215,66","1.287,34","1.358,20","1.433,60","1.502,61","1.539,32","1.575,16","1.613,79","1.649,58","1.677,94","1.719,95","1.739,97","1.777,19","1.802,00","1.880,13","1.921,16","1.990,69","2.040,31"
NL,CH,80,Export,"134,99","182,52","232,41","275,34","292,65","316,90","374,47","402,74","473,90","510,05","579,54","645,67","663,93","685,04","705,24","751,99","800,70","849,14","874,62","932,40","961,39","992,21","1.019,43","1.055,56","1.115,06","1.168,51","1.196,61","1.223,83","1.254,52","1.282,36","1.315,85","1.378,66","1.405,76","1.435,65","1.462,89","1.490,10","1.508,73","1.524,50","1.551,44"
NL,CH,81,Export,"134,99","182,52","232,41","275,34","292,65","316,90","374,47","402,74","473,90","510,05","579,54","645,67","663,93","685,04","705,24","751,99","800,70","849,14","874,62","932,40","961,39","992,21","1.019,43","1.055,56","1.115,06","1.168,51","1.196,61","1.223,83","1.254,52","1.282,36","1.315,85","1.378,66","1.405,76","1.435,65","1.462,89","1.490,10","1.508,73","1.524,50","1.551,44"
NL,CH,82,Export,"154,25","209,50","270,94","315,80","333,09","363,13","434,18","464,38","549,00","570,27","610,62","680,21","714,02","738,04","758,23","804,99","853,70","887,45","949,69","999,28","1.032,59","1.066,77","1.133,58","1.201,06","1.267,83","1.327,48","1.349,15","1.383,94","1.403,30","1.433,82","1.457,44","1.494,20","1.511,60","1.544,10","1.565,75","1.633,38","1.669,16","1.729,23","1.772,55"
NL,CH,83,Export,"134,99","182,52","232,41","275,34","292,65","316,90","374,47","402,74","473,90","510,05","579,54","645,67","663,93","685,04","705,24","751,99","800,70","849,14","874,62","932,40","961,39","992,21","1.019,43","1.055,56","1.115,06","1.168,51","1.196,61","1.223,83","1.254,52","1.282,36","1.315,85","1.378,66","1.405,76","1.435,65","1.462,89","1.490,10","1.508,73","1.524,50","1.551,44"
NL,CH,84,Export,"134,99","182,52","232,41","275,34","292,65","316,90","374,47","402,74","473,90","510,05","579,54","645,67","663,93","685,04","705,24","751,99","800,70","849,14","874,62","932,40","961,39","992,21","1.019,43","1.055,56","1.115,06","1.168,51","1.196,61","1.223,83","1.254,52","1.282,36","1.315,85","1.378,66","1.405,76","1.435,65","1.462,89","1.490,10","1.508,73","1.524,50","1.551,44"
NL,CH,85,Export,"154,25","209,50","270,94","315,80","333,09","363,13","434,18","464,38","549,00","570,27","610,62","680,21","714,02","738,04","758,23","804,99","853,70","887,45","949,69","999,28","1.032,59","1.066,77","1.133,58","1.201,06","1.267,83","1.327,48","1.349,15","1.383,94","1.403,30","1.433,82","1.457,44","1.494,20","1.511,60","1.544,10","1.565,75","1.633,38","1.669,16","1.729,23","1.772,55"
NL,CH,86,Export,"154,25","209,50","270,94","315,80","333,09","363,13","434,18","464,38","549,00","570,27","610,62","680,21","714,02","738,04","758,23","804,99","853,70","887,45","949,69","999,28","1.032,59","1.066,77","1.133,58","1.201,06","1.267,83","1.327,48","1.349,15","1.383,94","1.403,30","1.433,82","1.457,44","1.494,20","1.511,60","1.544,10","1.565,75","1.633,38","1.669,16","1.729,23","1.772,55"
NL,CH,87,Export,"154,25","209,50","270,94","315,80","333,09","363,13","434,18","464,38","549,00","570,27","610,62","680,21","714,02","738,04","758,23","804,99","853,70","887,45","949,69","999,28","1.032,59","1.066,77","1.133,58","1.201,06","1.267,83","1.327,48","1.349,15","1.383,94","1.403,30","1.433,82","1.457,44","1.494,20","1.511,60","1.544,10","1.565,75","1.633,38","1.669,16","1.729,23","1.772,55"
NL,CH,88,Export,"154,25","209,50","270,94","315,80","333,09","363,13","434,18","464,38","549,00","570,27","610,62","680,21","714,02","738,04","758,23","804,99","853,70","887,45","949,69","999,28","1.032,59","1.066,77","1.133,58","1.201,06","1.267,83","1.327,48","1.349,15","1.383,94","1.403,30","1.433,82","1.457,44","1.494,20","1.511,60","1.544,10","1.565,75","1.633,38","1.669,16","1.729,23","1.772,55"
NL,CH,89,Export,"154,25","209,50","270,94","315,80","333,09","363,13","434,18","464,38","549,00","570,27","610,62","680,21","714,02","738,04","758,23","804,99","853,70","887,45","949,69","999,28","1.032,59","1.066,77","1.133,58","1.201,06","1.267,83","1.327,48","1.349,15","1.383,94","1.403,30","1.433,82","1.457,44","1.494,20","1.511,60","1.544,10","1.565,75","1.633,38","1.669,16","1.729,23","1.772,55"
NL,CH,90,Export,"154,25","209,50","270,94","315,80","333,09","363,13","434,18","464,38","549,00","570,27","610,62","680,21","714,02","738,04","758,23","804,99","853,70","887,45","949,69","999,28","1.032,59","1.066,77","1.133,58","1.201,06","1.267,83","1.327,48","1.349,15","1.383,94","1.403,30","1.433,82","1.457,44","1.494,20","1.511,60","1.544,10","1.565,75","1.633,38","1.669,16","1.729,23","1.772,55"
NL,CH,91,Export,"154,25","209,50","270,94","315,80","333,09","363,13","434,18","464,38","549,00","570,27","610,62","680,21","714,02","738,04","758,23","804,99","853,70","887,45","949,69","999,28","1.032,59","1.066,77","1.133,58","1.201,06","1.267,83","1.327,48","1.349,15","1.383,94","1.403,30","1.433,82","1.457,44","1.494,20","1.511,60","1.544,10","1.565,75","1.633,38","1.669,16","1.729,23","1.772,55"
NL,CH,92,Export,"154,25","209,50","270,94","315,80","333,09","363,13","434,18","464,38","549,00","570,27","610,62","680,21","714,02","738,04","758,23","804,99","853,70","887,45","949,69","999,28","1.032,59","1.066,77","1.133,58","1.201,06","1.267,83","1.327,48","1.349,15","1.383,94","1.403,30","1.433,82","1.457,44","1.494,20","1.511,60","1.544,10","1.565,75","1.633,38","1.669,16","1.729,23","1.772,55"
NL,CH,93,Export,"154,25","209,50","270,94","315,80","333,09","363,13","434,18","464,38","549,00","570,27","610,62","680,21","714,02","738,04","758,23","804,99","853,70","887,45","949,69","999,28","1.032,59","1.066,77","1.133,58","1.201,06","1.267,83","1.327,48","1.349,15","1.383,94","1.403,30","1.433,82","1.457,44","1.494,20","1.511,60","1.544,10","1.565,75","1.633,38","1.669,16","1.729,23","1.772,55"
NL,CH,94,Export,"190,84","265,35","342,19","400,53","417,84","440,88","475,50","506,27","570,23","599,87","641,72","714,76","750,29","800,00","819,79","866,55","915,27","961,31","994,59","1.060,22","1.093,63","1.127,90","1.194,52","1.260,31","1.330,64","1.393,81","1.416,51","1.453,04","1.473,25","1.505,34","1.530,00","1.568,48","1.586,74","1.620,79","1.643,49","1.714,57","1.752,07","1.815,26","1.860,66"
NL,CH,95,Export,"154,25","209,50","270,94","315,80","333,09","363,13","434,18","464,38","549,00","570,27","610,62","680,21","714,02","738,04","758,23","804,99","853,70","887,45","949,69","999,28","1.032,59","1.066,77","1.133,58","1.201,06","1.267,83","1.327,48","1.349,15","1.383,94","1.403,30","1.433,82","1.457,44","1.494,20","1.511,60","1.544,10","1.565,75","1.633,38","1.669,16","1.729,23","1.772,55"
NL,CH,96,Export,"154,25","209,50","270,94","315,80","333,09","363,13","434,18","464,38","549,00","570,27","610,62","680,21","714,02","738,04","758,23","804,99","853,70","887,45","949,69","999,28","1.032,59","1.066,77","1.133,58","1.201,06","1.267,83","1.327,48","1.349,15","1.383,94","1.403,30","1.433,82","1.457,44","1.494,20","1.511,60","1.544,10","1.565,75","1.633,38","1.669,16","1.729,23","1.772,55"
